,index,likes,Checkins,Returns,Category,commBase,comm24,comm48,comm24_1,"diff_24,48",baseTime,length,shares,hrs,sun_pub,mon_pub,tue_pub,wed_pub,thu_pub,fri_pub,sat_pub,sun_base,mon_base,tue_base,wed_base,thu_base,fri_base,sat_base,output
0,0,634995,0,463.0,1.0,0.0,0,0.0,0,0,65,166,2.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,0,1,0
1,1,634995,0,463.0,1.0,0.0,0,0.0,0,0,10,132,1.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0
2,2,634995,0,463.0,1.0,0.0,0,0.0,0,0,14,133,2.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,0
3,3,634995,0,463.0,1.0,7.0,0,3.0,7,-3,62,131,1.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0
4,4,634995,0,463.0,1.0,1.0,0,0.0,1,0,58,142,5.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
5,5,634995,0,463.0,1.0,0.0,0,0.0,0,0,60,166,1.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0
6,6,634995,0,463.0,1.0,0.0,0,0.0,0,0,68,145,2.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,0,1,0
7,7,634995,0,463.0,1.0,1.0,0,1.0,1,-1,32,157,2.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
8,8,634995,0,463.0,1.0,0.0,0,0.0,0,0,35,177,5.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,0
9,9,634995,0,463.0,1.0,0.0,0,0.0,0,0,48,126,1.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
10,10,634995,0,463.0,1.0,0.0,0,0.0,0,0,52,188,1.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
11,11,634995,0,463.0,1.0,1.0,0,0.0,1,0,69,172,4.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0
12,12,634995,0,463.0,1.0,0.0,0,0.0,0,0,3,157,4.0,24,0,0.0,1,0,0.0,0,0,0,0.0,1,0,0,0,0,3
13,13,634995,0,463.0,1.0,1.0,1,0.0,1,1,37,126,1.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
14,14,634995,0,463.0,1.0,0.0,0,0.0,0,0,23,103,1.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0
